,Unnamed: 0,output
0,0,"the president, a leader so grand,
A man of vision, with a steady hand,
He led our nation through World War I,
Advocating peace for all to pursue.

His Fourteen Points sought a just world order,
And the League of Nations became his border,
Though met with opposition, he stood strong,
the president's legacy forever long."
1,1,"the president, a man of great might,
A president who led with grace and insight,
Champion of peace and global reform,
His vision and ideals forever transform.

He fought for justice, equality for all,
Through trials and triumphs, he stood tall,
With diplomacy and intellect, he'd strive,
the president, a leader who'll forever thrive."
2,2,"the president, a leader true and bold,
A visionary whose ideals were gold.
Through World War I, he sought for peace,
His diplomacy, a quest that won't cease.
The League of Nations, his noble dream,
A world united, a future gleam.
A scholar, a statesman, his legacy so grand,
the president, shaping our nation's hand."
3,3,"the president, a president of might,
Led the nation through a turbulent fight.
Progressive reforms, his guiding light,
He aimed to make the future bright.

World War I, a challenge faced,
Peace and justice he truly embraced.
A visionary leader, with wisdom traced,
the president, his legacy embraced."
4,4,"the president, a man of great might,
Led America with wisdom and insight.
A scholar, a thinker, a visionary,
He sought peace and fought for liberty.
His Fourteen Points, a guiding hand,
Urged nations to unite and understand.
A president who shaped history's course,
the president, forever a source of force."
5,5,"the president, leader of great might,
A vision for a world united, bright.
His intellect, a guiding star,
Through war and peace, he'd go far.
A man of principles, steadfast and true,
Advocating for democracy, through and through.
His legacy lives on, a beacon so clear,
the president, a leader we hold dear."
6,6,"the president, a leader of great might,
Preserved peace, fought for what was right.
A visionary mind, a man of grace,
He championed justice, for every race.
Through turbulent times, his voice stood strong,
A diplomat, he righted many wrongs.
His legacy shines, a beacon of hope,
the president, a leader we still invoke."
7,7,"the president, a leader bold and wise,
A visionary with dreams that would rise,
He championed peace and justice, we recall,
Through his ideals, he aimed to mend all.
A scholar and a statesman, strong and true,
His intellect and eloquence imbued,
He guided America with steadfast will,
the president, his legacy lives still."
8,8,"the president, leader of his time,
A vision for a world sublime,
With intellect and eloquence,
He sought for peace, with great persistence.

A statesman, scholar, president,
His legacy, a testament,
To his belief in democracy,
the president, a man of legacy."
9,9,"the president, leader with a vision,
A scholar's mind, a man of precision.
He guided a nation through war and strife,
With diplomacy and a love for life.
A champion of peace, a voice so strong,
His ideals inspired, resonated long.
A legacy etched in history's scroll,
the president, a leader of great soul."
10,10,"the president, leader of the nation,
With visionary dreams and determination,
A scholar, a president, a man of great might,
He fought for justice, for what was right.
Through World War I, he sought peace and unity,
His Fourteen Points, a beacon for humanity.
Though flawed, his legacy endures still,
the president, a leader with an iron will."
11,11,"the president, leader of great acclaim,
A president whose vision brought great change,
He championed peace and fair democracy,
And sought to mend the world's broken seams.

His intellect and eloquence renowned,
He shaped the League of Nations, a noble aim,
Though challenges he faced, his legacy remains,
An advocate for progress, forever named."
12,12,"the president, a man of great vision,
Led the nation through turbulent times.
With intellect and determination,
He sought to create a world more sublime.

He championed peace and democracy,
And fought for justice both near and far.
His legacy, a lasting memory,
the president, a guiding star."
13,13,"the president, leader of great might,
Guiding a nation through a turbulent fight,
A scholar and statesman with eloquent speech,
Seeking peace, justice, and freedom to reach.

He championed reforms, a vision so bold,
Advocating fairness for young and old,
With ideals that still resonate today,
the president paved the American way."
