,Unnamed: 0,output
0,0,"the president, a leader so stout,
In the White House he made his mark, no doubt.
A president and a chief justice, he wore two hats,
Balancing law and politics, adept like a cat.

Ohio gave us this son, so wise and so large,
His wisdom and fairness, his defining charge.
In history's pages, the president stands apart,
A leader of justice, with a lion's heart."
1,1,"the president, a name of renown,
America's 27th, he wore the crown.
Both in court and the presidential chair,
His tenure marked by an earnest care.

A man of law, of justice, and of weight,
His legacy continues to resonate.
From Cincinnati to the presidentC.'s vast expanse,
the president led this nation with a steady stance."
2,2,"Once a president, then a judge sat,
A hefty man named the president.
In the White House, where he once slept,
His legacy, one that was deftly kept.

First to use the presidential car,
Yet his fame would travel far.
In robes of justice later clad,
the president's influence was anything but bad."
3,3,"the president, a man of great heft,
In politics and law, he was deft.
America's 27th guide, with pride,
Both in court and in presidential stride.
A leader with a judicial twist,
First as President, then justice he enlist.
In history's hall, he stands tall,
A dual role, he did not fall."
4,4,"the president, a man of hefty weight,
In the White House, he did proudly elevate.
A judge, a diplomat, and a president too,
A life in service, to his nation he stayed true.

A leader of reform, with a judicial tact,
In the Supreme Court, he made a lasting impact.
From the Philippines to Panama, he cast his craft,
A legacy enduring, left by the president."
5,5,"the president, our twenty-seventh guard,
A man of law, his judgments hard and fair.
In weight and wisdom, both he held the card,
His hefty presence felt everywhere.

Became our Chief Justice after his reign,
The only one to claim that dual fame.
His legacy, a blend of brawn and brain,
In our nation's history, an enduring name."
6,6,"the president, a man of grand girth,
Presidential power and judicial worth.
A leader, a judge, a statesman so tall,
In both White House and court, he gave his all.

Famed for his size, but his mind was his strength,
In a career of remarkable length.
From Ohio to DC, with a vision so vast,
Remembering the president, a figure so vast."
7,7,"the president, a man of great weight,
Twenty-seventh President, deemed truly great.
A judge, a professor, statesman so keen,
His love for justice was clearly seen. 

In bathtub legends, he's often stuck, 
But his legacy in law, remains unstruck.
A leader, a scholar, with wisdom so vast,
In history's books, his stories will last."
8,8,"Once a president, then a justice of peace,
the president, a man of great increase.
A weighty figure, with a mind so sharp,
His political prowess, a national harp.

Served his country in roles so diverse,
His dedication, none could reverse.
A legacy of service, strength, and craft,
The tale of the president."
9,9,"the president, a leader of great weight,
In the Oval Office, he did not hesitate.
A man of law, and justice his craft,
In America's story, he left his draft.

From judge to president, then justice supreme,
His impact on the nation, not just a dream.
A legacy of fairness, in his wake left,
A tribute to the great the president."
10,10,"President the president with his mustache so grand,
Under his rule, he took a firm stand.
A man of great weight, but greater might,
In the Oval Office, he shone bright.

A judge, a governor and then a chief,
His love for justice was beyond belief.
From Yale to White House, his journey vast,
A tribute to the president."
11,11,"the president, with a hearty laugh,
In politics and law, he carved his path.
Twenty-seventh President, Chief Justice too,
A man of many roles, through and through.

Bearing weight of state, with dignity and class,
Never letting a moment of duty pass.
He served his nation, with a steadfast heart,
In America's story, he played a vital part."
12,12,"Heavyweight of justice, the president stood strong,
Presidential tenure, twenty seventh long.
In court and in office, he sought the truth,
His legacy, ingrained in America's youth.

A Chief Justice, a President, a man of many parts,
His wisdom and vision, captured many hearts.
From the Oval Office to the Supreme Court's raft,
Stands the enduring legacy of the president."
13,13,"the president, a name held in esteem,
In the White House, he had a dream.
Our 27th president, with a lawyer’s craft,
Also the Chief Justice - a dual draft. 

His weight was hefty, his humor was daft,
But his love for his country was never half.
A man of law, justice, and diplomatic tact,
That was our leader, the president."
