,name,ratings,party,year
46,Joe Biden,"[0.31716281175613403, 0.2224961370229721, 0.4675961136817932, 0.2209620326757431, 0.30589401721954346, 0.3473418354988098, 0.27487823367118835, 0.3689591884613037, 0.3871297836303711, 0.37151163816452026, 0.32216447591781616, 0.3391806185245514, 0.300741046667099, 0.3426158130168915, 0.24246130883693695, 0.40445971488952637, 0.3373165726661682, 0.3331643044948578, 0.20763221383094788, 0.48837918043136597, 0.22958135604858398, 0.3976249694824219, 0.24729186296463013, 0.19334885478019714, 0.5047079920768738, 0.21721020340919495, 0.2999109625816345, 0.1493760198354721, 0.32185953855514526, 0.3925342857837677, 0.31551703810691833, 0.33076006174087524, 0.26281753182411194, 0.3094608783721924, 0.40312692523002625, 0.23943299055099487, 0.2545984387397766, 0.5333159565925598, 0.2978917360305786, 0.2600529193878174, 0.2686028778553009, 0.3274577260017395, 0.3133145570755005, 0.30948927998542786, 0.42952844500541687, 0.3177485764026642, 0.1913691759109497, 0.3015057146549225, 0.5948818922042847, 0.1864725649356842, 0.542770504951477, 0.27966171503067017, 0.28904905915260315, 0.2978499233722687, 0.2954733371734619, 0.3212474584579468, 0.2727593779563904, 0.34551891684532166, 0.5251721739768982, 0.21613314747810364, 0.3881289064884186, 0.3434508740901947, 0.31573787331581116, 0.2886021137237549, 0.24314311146736145, 0.37084588408470154, 0.26658886671066284, 0.3357950747013092, 0.20661292970180511, 0.21102669835090637, 0.30951428413391113, 0.2488531619310379, 0.30319395661354065, 0.3101441264152527, 0.2783057689666748, 0.27969443798065186, 0.33831092715263367, 0.4555151164531708, 0.19239838421344757, 0.2755054533481598, 0.2980862855911255, 0.32579559087753296, 0.2306734323501587, 0.2573624849319458, 0.14735320210456848, 0.3398357033729553, 0.30787771940231323, 0.36434903740882874, 0.3832976222038269, 0.19544483721256256, 0.3788973093032837, 0.2863100469112396, 0.5428504347801208, 0.30380406975746155, 0.2962072789669037, 0.2944280803203583, 0.19966581463813782, 0.25222837924957275, 0.37345176935195923, 0.48796719312667847]",D,2021
45,Donald Trump,"[0.28323084115982056, 0.4127348065376282, 0.22443728148937225, 0.21346823871135712, 0.21715496480464935, 0.07408391684293747, 0.2499915510416031, 0.3030804693698883, 0.30803459882736206, 0.3197289705276489, 0.3049212098121643, 0.2169651985168457, 0.49699220061302185, 0.3674478828907013, 0.17853553593158722, 0.17348001897335052, 0.33587270975112915, 0.2786930501461029, 0.5160275101661682, 0.33786898851394653, 0.4467683434486389, 0.3228475749492645, 0.6073946952819824, 0.3132058382034302, 0.17932549118995667, 0.42540574073791504, 0.29325151443481445, 0.2614969313144684, 0.19931147992610931, 0.40812551975250244, 0.37493783235549927, 0.27516281604766846, 0.3962947130203247, 0.19711387157440186, 0.36500799655914307, 0.17285852134227753, 0.16268864274024963, 0.22872669994831085, 0.5266672372817993, 0.2727038860321045, 0.22614862024784088, 0.43005234003067017, 0.40228116512298584, 0.326066792011261, 0.3634575307369232, 0.20869697630405426, 0.1947106122970581, 0.2218356728553772, 0.2435857355594635, 0.45093676447868347, 0.12817279994487762, 0.166578471660614, 0.2889149487018585, 0.2499123066663742, 0.41181668639183044, 0.23019878566265106, 0.24268342554569244, 0.12819573283195496, 0.2281329184770584, 0.5368859171867371, 0.20722027122974396, 0.35727250576019287, 0.12684932351112366, 0.2178194522857666, 0.23377229273319244, 0.12608861923217773, 0.31941020488739014, 0.3857164978981018, 0.29167184233665466, 0.427471399307251, 0.14872635900974274, 0.17297865450382233, 0.38257548213005066, 0.24973589181900024, 0.22760942578315735, 0.23350225389003754, 0.431348592042923, 0.19396981596946716, 0.27714455127716064, 0.2508557438850403, 0.3222678601741791, 0.22950208187103271, 0.25101709365844727, 0.40672585368156433, 0.2506316900253296, 0.22548459470272064, 0.44686657190322876, 0.11440633982419968, 0.3155975043773651, 0.250015527009964, 0.31777486205101013, 0.25504159927368164, 0.2202850878238678, 0.3067318797111511, 0.1988958865404129, 0.36939582228660583, 0.44284582138061523, 0.25203076004981995, 0.16722656786441803, 0.21824823319911957]",R,2017
44,Barack Obama,"[0.4175703227519989, 0.5580074787139893, 0.5647798776626587, 0.6004472970962524, 0.3123410940170288, 0.48606714606285095, 0.3959619998931885, 0.4074799120426178, 0.39355966448783875, 0.30253320932388306, 0.5244094729423523, 0.5913242697715759, 0.34653395414352417, 0.4308171570301056, 0.38176393508911133, 0.45006459951400757, 0.41500696539878845, 0.38186588883399963, 0.3929191827774048, 0.37276560068130493, 0.4493717849254608, 0.5498759150505066, 0.5049380660057068, 0.48610639572143555, 0.45995253324508667, 0.41299790143966675, 0.528558075428009, 0.2747710943222046, 0.34839820861816406, 0.5000541806221008, 0.45443597435951233, 0.5446262359619141, 0.5806059241294861, 0.5607089400291443, 0.5881598591804504, 0.38986238837242126, 0.45145609974861145, 0.5279853940010071, 0.3320161700248718, 0.6323207020759583, 0.5340580940246582, 0.5180307030677795, 0.3826131522655487, 0.42709383368492126, 0.4903782308101654, 0.5914737582206726, 0.5357358455657959, 0.5683836936950684, 0.5412164330482483, 0.50644850730896, 0.5559988617897034, 0.515665590763092, 0.5879808068275452, 0.44642314314842224, 0.3421223759651184, 0.6100223660469055, 0.6045433878898621, 0.42528319358825684, 0.4931929111480713, 0.37276795506477356, 0.5669669508934021, 0.46373140811920166, 0.49666857719421387, 0.5540385842323303, 0.565464198589325, 0.5038094520568848, 0.5257757902145386, 0.4821361005306244, 0.6920630931854248, 0.5320510864257812, 0.5167959928512573, 0.5741536617279053, 0.46122443675994873, 0.5317055583000183, 0.5975230932235718, 0.4678558111190796, 0.43206173181533813, 0.4025775194168091, 0.3175223469734192, 0.5436269640922546, 0.5378468632698059, 0.43654024600982666, 0.4557676613330841, 0.5341293215751648, 0.544291079044342, 0.48729726672172546, 0.5123246908187866, 0.528170645236969, 0.3925012946128845, 0.38449186086654663, 0.41996845602989197, 0.4417099356651306, 0.3404041528701782, 0.4785861372947693, 0.5643891096115112, 0.463668555021286, 0.5408288240432739, 0.6023879051208496, 0.49063795804977417, 0.45368099212646484]",D,2009
43,George W. Bush,"[0.23509813845157623, 0.19933640956878662, 0.2227916717529297, 0.29842129349708557, 0.2721996307373047, 0.17947255074977875, 0.26271238923072815, 0.3483603000640869, 0.18057474493980408, 0.34487974643707275, 0.3347634971141815, 0.2759588956832886, 0.3334035575389862, 0.4318186640739441, 0.30911940336227417, 0.2683796286582947, 0.3337061405181885, 0.28862133622169495, 0.2729659378528595, 0.42196333408355713, 0.3343157172203064, 0.3099379241466522, 0.22348414361476898, 0.14187084138393402, 0.3547339141368866, 0.3771478235721588, 0.1549064666032791, 0.2503139078617096, 0.5190028548240662, 0.30411508679389954, 0.142553448677063, 0.33857691287994385, 0.24445708096027374, 0.3677005171775818, 0.3668665587902069, 0.261870801448822, 0.36544105410575867, 0.27329644560813904, 0.45537424087524414, 0.25216779112815857, 0.3298134505748749, 0.32223716378211975, 0.3152538239955902, 0.4071927070617676, 0.2162730097770691, 0.2786099314689636, 0.379078209400177, 0.3666474521160126, 0.34934327006340027, 0.3986795246601105, 0.31755897402763367, 0.23179975152015686, 0.36181607842445374, 0.16492605209350586, 0.3925902247428894, 0.2313988357782364, 0.44543251395225525, 0.3357241749763489, 0.36997345089912415, 0.2818778157234192, 0.48074787855148315, 0.1472671926021576, 0.1149817407131195, 0.24956046044826508, 0.384390652179718, 0.3776981830596924, 0.29138249158859253, 0.4376053810119629, 0.2621065676212311, 0.40792685747146606, 0.19289425015449524, 0.4614400863647461, 0.19786399602890015, 0.3163206875324249, 0.22259393334388733, 0.3116287291049957, 0.32518714666366577, 0.4169570505619049, 0.4350663423538208, 0.3169553577899933, 0.3347196877002716, 0.3783838152885437, 0.2669539749622345, 0.4664594531059265, 0.2561315596103668, 0.24934442341327667, 0.15002170205116272, 0.31484827399253845, 0.3323259651660919, 0.17176023125648499, 0.3118664026260376, 0.346812903881073, 0.2609626352787018, 0.3558364510536194, 0.3251015543937683, 0.24976302683353424, 0.463808536529541, 0.36293816566467285, 0.3709295988082886, 0.4138287305831909]",R,2001
42,Bill Clinton,"[0.3758411705493927, 0.34040626883506775, 0.24223127961158752, 0.35617366433143616, 0.38420727849006653, 0.2933320701122284, 0.19538260996341705, 0.2336825728416443, 0.2930484116077423, 0.26299482583999634, 0.34585702419281006, 0.2526169717311859, 0.17908889055252075, 0.1649593859910965, 0.4983062446117401, 0.4978730380535126, 0.49483633041381836, 0.18003161251544952, 0.14878413081169128, 0.33637937903404236, 0.2872813940048218, 0.20664970576763153, 0.27813321352005005, 0.30573931336402893, 0.21888069808483124, 0.16254422068595886, 0.21440230309963226, 0.3355637192726135, 0.283836305141449, 0.17595112323760986, 0.21134501695632935, 0.25036054849624634, 0.30572509765625, 0.28041866421699524, 0.5215343236923218, 0.17637495696544647, 0.12779682874679565, 0.148707777261734, 0.11763276159763336, 0.19346831738948822, 0.36474117636680603, 0.216364324092865, 0.4134966731071472, 0.22490546107292175, 0.14444968104362488, 0.3515775501728058, 0.35698604583740234, 0.1761823296546936, 0.1662343144416809, 0.25453007221221924, 0.16831891238689423, 0.1149788424372673, 0.30042609572410583, 0.21037086844444275, 0.2888384759426117, 0.20222221314907074, 0.30118662118911743, 0.2968986928462982, 0.6132264137268066, 0.3304644525051117, 0.2844806909561157, 0.21766896545886993, 0.34780600666999817, 0.28382810950279236, 0.31025436520576477, 0.46558475494384766, 0.1809035986661911, 0.28226447105407715, 0.29754477739334106, 0.18910135328769684, 0.1880035400390625, 0.12858723104000092, 0.27726298570632935, 0.20744363963603973, 0.21091324090957642, 0.3855644166469574, 0.4156225025653839, 0.3038906157016754, 0.32024240493774414, 0.15292781591415405, 0.19036321341991425, 0.3097913861274719, 0.22994916141033173, 0.1329563856124878, 0.12913483381271362, 0.3572447597980499, 0.3223600685596466, 0.2474650740623474, 0.17320683598518372, 0.3726837635040283, 0.2431158721446991, 0.12191706150770187, 0.17966650426387787, 0.39825254678726196, 0.24342934787273407, 0.3167145848274231, 0.15202923119068146, 0.26260894536972046, 0.3080306947231293, 0.26092949509620667]",D,1993
41,George H. W. Bush,"[0.30137181282043457, 0.24608753621578217, 0.41584670543670654, 0.2603698968887329, 0.27791017293930054, 0.16765405237674713, 0.4584313631057739, 0.4904558062553406, 0.5010442733764648, 0.5084865093231201, 0.3664192855358124, 0.5471389889717102, 0.46572232246398926, 0.5073639154434204, 0.46235471963882446, 0.378950297832489, 0.25124484300613403, 0.5898035168647766, 0.28870123624801636, 0.4685218334197998, 0.4769022762775421, 0.2693468928337097, 0.49960097670555115, 0.48697835206985474, 0.5557405948638916, 0.5166696310043335, 0.3394855856895447, 0.550577700138092, 0.21863043308258057, 0.31754735112190247, 0.19323208928108215, 0.47050055861473083, 0.48862940073013306, 0.5092136859893799, 0.3808712959289551, 0.35182273387908936, 0.3259783685207367, 0.3098454773426056, 0.5755490064620972, 0.5531269907951355, 0.43292099237442017, 0.43919146060943604, 0.2899981737136841, 0.2561444938182831, 0.27441826462745667, 0.2696288824081421, 0.43619611859321594, 0.4624752998352051, 0.39813804626464844, 0.3833141624927521, 0.18200057744979858, 0.23480355739593506, 0.5313661694526672, 0.33796226978302, 0.5268425941467285, 0.45241421461105347, 0.3898552358150482, 0.4536636769771576, 0.4895816147327423, 0.5977771282196045, 0.27133652567863464, 0.32340410351753235, 0.34836798906326294, 0.482454776763916, 0.3401738405227661, 0.4348697066307068, 0.2568005919456482, 0.5222194790840149, 0.42451396584510803, 0.560055673122406, 0.47302529215812683, 0.47644662857055664, 0.3266162872314453, 0.3814922571182251, 0.5763934850692749, 0.5979335308074951, 0.5044028759002686, 0.4712829291820526, 0.4812575578689575, 0.5064359903335571, 0.4550630748271942, 0.5424261093139648, 0.2871011197566986, 0.4426863193511963, 0.4799308180809021, 0.2361331582069397, 0.4040091633796692, 0.42790380120277405, 0.4318239688873291, 0.4616977274417877, 0.30359408259391785, 0.32352808117866516, 0.2549837529659271, 0.36139360070228577, 0.4995136260986328, 0.2494129091501236, 0.564669668674469, 0.3018772304058075, 0.2490248680114746, 0.38767877221107483]",R,1989
40,Ronald Reagan,"[0.36467844247817993, 0.4189758896827698, 0.507198691368103, 0.29336637258529663, 0.44903799891471863, 0.40432116389274597, 0.36462152004241943, 0.4114615321159363, 0.2908038794994354, 0.4638743996620178, 0.4935632050037384, 0.36097392439842224, 0.45346370339393616, 0.4501204192638397, 0.31140774488449097, 0.4274360239505768, 0.4764467477798462, 0.47276565432548523, 0.5914403200149536, 0.41442784667015076, 0.318438857793808, 0.5555282235145569, 0.3088270425796509, 0.3656325340270996, 0.408653199672699, 0.5034082531929016, 0.41840246319770813, 0.33541232347488403, 0.3369763493537903, 0.43909624218940735, 0.3566942512989044, 0.6541446447372437, 0.36724114418029785, 0.2532050609588623, 0.3447316884994507, 0.5337710976600647, 0.40533706545829773, 0.3973422348499298, 0.42722615599632263, 0.2331860512495041, 0.2508847117424011, 0.5417667031288147, 0.48477473855018616, 0.5007950067520142, 0.5304031372070312, 0.294963002204895, 0.5176588892936707, 0.3648589253425598, 0.2853882610797882, 0.41924944519996643, 0.5057910084724426, 0.3689636290073395, 0.4632021188735962, 0.543462872505188, 0.545766294002533, 0.33311012387275696, 0.47495290637016296, 0.6178932785987854, 0.3843761682510376, 0.29325082898139954, 0.25044023990631104, 0.45617255568504333, 0.43471285700798035, 0.3280605375766754, 0.22453361749649048, 0.32575663924217224, 0.3525521755218506, 0.39660942554473877, 0.39071011543273926, 0.43226343393325806, 0.48773324489593506, 0.3964940905570984, 0.5074073076248169, 0.4532411992549896, 0.5750024914741516, 0.4524573087692261, 0.294721782207489, 0.37494081258773804, 0.48917022347450256, 0.5460014343261719, 0.49613499641418457, 0.3437967002391815, 0.2943473160266876, 0.6196405291557312, 0.48875030875205994, 0.4702110290527344, 0.37517625093460083, 0.3920401632785797, 0.423613965511322, 0.34771421551704407, 0.4580051600933075, 0.37739649415016174, 0.4336410462856293, 0.4476216435432434, 0.4387512505054474, 0.42381948232650757, 0.6462104320526123, 0.4427260756492615, 0.4132334589958191, 0.4425686001777649]",R,1981
39,Jimmy Carter,"[0.4586060047149658, 0.37686461210250854, 0.32628512382507324, 0.5216109752655029, 0.5697270035743713, 0.4994755983352661, 0.33837586641311646, 0.33225661516189575, 0.4317171573638916, 0.49169984459877014, 0.44798150658607483, 0.4070790708065033, 0.443243145942688, 0.4521546959877014, 0.47016802430152893, 0.47981640696525574, 0.4286447763442993, 0.3934871554374695, 0.3127375543117523, 0.4058700203895569, 0.31337547302246094, 0.2588901221752167, 0.5441127419471741, 0.3170531690120697, 0.3050140142440796, 0.45004796981811523, 0.45998021960258484, 0.33138617873191833, 0.45079004764556885, 0.31564828753471375, 0.3314095437526703, 0.3877328634262085, 0.48594072461128235, 0.4776144325733185, 0.21985194087028503, 0.4990484416484833, 0.20014557242393494, 0.36481690406799316, 0.3731028139591217, 0.38694581389427185, 0.3303692936897278, 0.298770010471344, 0.3968358635902405, 0.45903638005256653, 0.46904489398002625, 0.4454178512096405, 0.48595163226127625, 0.2465040534734726, 0.4425128400325775, 0.40117624402046204, 0.4745294451713562, 0.38546016812324524, 0.35166269540786743, 0.27725517749786377, 0.28594163060188293, 0.19705116748809814, 0.22870218753814697, 0.4963264465332031, 0.4043998420238495, 0.4429732859134674, 0.5129184722900391, 0.3863605558872223, 0.450091153383255, 0.442646324634552, 0.4532342553138733, 0.5474406480789185, 0.4363120496273041, 0.4787951707839966, 0.3940770626068115, 0.3250342309474945, 0.3877946436405182, 0.33084824681282043, 0.5912056565284729, 0.4168757498264313, 0.2069103866815567, 0.31984269618988037, 0.4540494978427887, 0.4703790247440338, 0.33996105194091797, 0.4248898923397064, 0.5242597460746765, 0.5522034764289856, 0.512935996055603, 0.44952845573425293, 0.22273041307926178, 0.47570550441741943, 0.38807278871536255, 0.3617290258407593, 0.3129938542842865, 0.4426884651184082, 0.4021090269088745, 0.25637540221214294, 0.4413141906261444, 0.3908817172050476, 0.510236918926239, 0.45412755012512207, 0.4875965416431427, 0.4552004039287567, 0.5048133134841919, 0.4397037923336029]",D,1977
38,Gerald Ford,"[0.189411461353302, 0.4234783351421356, 0.5014276504516602, 0.43543705344200134, 0.30992114543914795, 0.3117334544658661, 0.4180159866809845, 0.4328914284706116, 0.3969402015209198, 0.2472701072692871, 0.3638095259666443, 0.4099995791912079, 0.35824042558670044, 0.3777008652687073, 0.4174564480781555, 0.2808467447757721, 0.19149912893772125, 0.3501778542995453, 0.3409833610057831, 0.4183921217918396, 0.25141480565071106, 0.3611641526222229, 0.41370275616645813, 0.21399778127670288, 0.45698800683021545, 0.3618450164794922, 0.4235476553440094, 0.4355260133743286, 0.25810858607292175, 0.48793625831604004, 0.42377638816833496, 0.33094003796577454, 0.5450770258903503, 0.2757946252822876, 0.21371501684188843, 0.41757407784461975, 0.49420908093452454, 0.42560702562332153, 0.4052078127861023, 0.45149707794189453, 0.3106277287006378, 0.4062352180480957, 0.43647301197052, 0.4289074242115021, 0.3676617741584778, 0.25016170740127563, 0.4471633732318878, 0.4282773733139038, 0.41259992122650146, 0.4297286868095398, 0.3895384669303894, 0.5285001397132874, 0.4676155745983124, 0.4616912603378296, 0.46516290307044983, 0.2060529887676239, 0.49748772382736206, 0.2689931392669678, 0.421848863363266, 0.2203366905450821, 0.28615838289260864, 0.33034664392471313, 0.4611504375934601, 0.4611724019050598, 0.4426751434803009, 0.3098834455013275, 0.4373033344745636, 0.4245215952396393, 0.43243613839149475, 0.35677698254585266, 0.3970697224140167, 0.45850270986557007, 0.4811038672924042, 0.4458629786968231, 0.2966541051864624, 0.48751845955848694, 0.4249722957611084, 0.352944016456604, 0.40553873777389526, 0.23324057459831238, 0.4138995409011841, 0.3021341562271118, 0.5244206786155701, 0.49935317039489746, 0.38119441270828247, 0.43807363510131836, 0.2082367241382599, 0.2405097633600235, 0.37987521290779114, 0.48927614092826843, 0.3747991621494293, 0.3834896683692932, 0.19733494520187378, 0.44466203451156616, 0.38498151302337646, 0.5218900442123413, 0.24611115455627441, 0.48787376284599304, 0.4315345585346222, 0.44128939509391785]",R,1974
37,Richard Nixon,"[0.42441678047180176, 0.2858600616455078, 0.26238128542900085, 0.18898843228816986, 0.3717384934425354, 0.3574862480163574, 0.11165260523557663, 0.35203805565834045, 0.3757954239845276, 0.3296110928058624, 0.27098023891448975, 0.34362053871154785, 0.18868258595466614, 0.12957173585891724, 0.29397010803222656, 0.33936068415641785, 0.2216501533985138, 0.3409763276576996, 0.3419148623943329, 0.3229600787162781, 0.29284122586250305, 0.13205356895923615, 0.3049487769603729, 0.30039238929748535, 0.2586228847503662, 0.3160163164138794, 0.3713020384311676, 0.24018636345863342, 0.31207188963890076, 0.24767634272575378, 0.4275917112827301, 0.32128387689590454, 0.26268965005874634, 0.27597731351852417, 0.16564448177814484, 0.1733173429965973, 0.27314531803131104, 0.30939844250679016, 0.3528999984264374, 0.4064711332321167, 0.408193975687027, 0.37267962098121643, 0.3284039795398712, 0.42697253823280334, 0.3196788728237152, 0.3262632191181183, 0.29236704111099243, 0.31285926699638367, 0.4127621352672577, 0.22229327261447906, 0.14306092262268066, 0.2272544503211975, 0.3742757737636566, 0.335212767124176, 0.17861391603946686, 0.21070216596126556, 0.2881604731082916, 0.304823100566864, 0.30353477597236633, 0.2896931767463684, 0.33447209000587463, 0.1225360706448555, 0.2626573443412781, 0.1671246439218521, 0.22336319088935852, 0.2711390256881714, 0.30768710374832153, 0.29704511165618896, 0.23533055186271667, 0.2954707443714142, 0.2920272946357727, 0.18473023176193237, 0.26480814814567566, 0.2752157151699066, 0.30646225810050964, 0.23312509059906006, 0.36519673466682434, 0.3586321175098419, 0.2586412727832794, 0.2815438508987427, 0.33869659900665283, 0.30144837498664856, 0.32468828558921814, 0.32270878553390503, 0.36652278900146484, 0.2925306260585785, 0.3137221038341522, 0.281767874956131, 0.38057297468185425, 0.21798516809940338, 0.16936759650707245, 0.1893855333328247, 0.3513171672821045, 0.37398701906204224, 0.27090123295783997, 0.32529953122138977, 0.3228910565376282, 0.2960413694381714, 0.2723759710788727, 0.23021750152111053]",R,1969
